Title,URL,Author,Average_rating,Rating,Reviews,Pages,Year,Series,Setting,Awards,Genres,Awards_no
"Marked (House of Night, #1)",https://www.goodreads.com//book/show/30183.Marked,P.C. Cast,3.8,447991.0,14502.0,306.0,2007.0,1,"['United States of America  Tulsa', ' Oklahoma  United States', '    Oklahoma  United States', ' ']","[""Romantic Times Reviewers' Choice Award (RT Award) for Young Adult (2007)""]","['Young Adult', ' Fantasy', ' Paranormal']",1.0
A Long Way Gone: Memoirs of a Boy Soldier,https://www.goodreads.com//book/show/43015.A_Long_Way_Gone,Ishmael Beah,4.14,171707.0,10995.0,229.0,2007.0,0,"['Sierra Leone  New York City', ' New York  United States', ' ']","['ALA Alex Award (2008), Lincoln Award Nominee (2010), NAIBA Book of the Year for Nonfiction (2007), Bill Duthie Booksellers’ Choice Award Nominee (2008)']","['Nonfiction', ' Autobiography', ' Cultural']",4.0
Case Histories (Jackson Brodie #1),https://www.goodreads.com//book/show/16243.Case_Histories,Kate Atkinson,3.81,95426.0,6877.0,389.0,2005.0,1,"['Cambridge', ' England']","['Orange Prize Nominee for Fiction Longlist (2005), Saltire Society Literary Award for Scottish Book of the Year (2005)']","['Mystery', ' Fiction', ' Mystery']",2.0
The Tipping Point: How Little Things Can Make a Big Difference,https://www.goodreads.com//book/show/2612.The_Tipping_Point,Malcolm Gladwell,3.98,717462.0,14072.0,301.0,2002.0,0,,[],"['Nonfiction', ' Business', ' Psychology']",
1776,https://www.goodreads.com//book/show/1067.1776,David McCullough,4.06,198602.0,7442.0,386.0,2006.0,0,,['American Compass Best Book (2005)'],"['History', ' Nonfiction', ' North American Hi...']",1.0
Half of a Yellow Sun,https://www.goodreads.com//book/show/18749.Half_of_a_Yellow_Sun,Chimamanda Ngozi Adichie,4.31,116245.0,9325.0,433.0,2006.0,0,"['Nigeria  Biafra  Nsukka  Nigeria', '    …more Lagos  Nigeria', '    Kano  Nigeria', '    Port Harcourt  Nigeria', '    Abba', ' Imo  Nigeria', '    Umuahia  Nigeria', '    Orlu  Nigeria', '    …less']","['Orange Prize for Fiction (2007), James Tait Black Memorial Prize Nominee for Fiction (2006), Anisfield-Wolf Book Award for Fiction (2007), PEN Open Book Award (2007), National Book Critics Circle Award Nominee for Fiction (2006)\n...more\nHurston/Wright Legacy Award Nominee for Fiction (2007)']","['Fiction', ' Historical', ' Cultural']",6.0
"In the Woods (Dublin Murder Squad, #1)",https://www.goodreads.com//book/show/2459785.In_the_Woods,Tana French,3.77,327966.0,22806.0,429.0,2008.0,1,"['Dublin', ' 2004  Ireland', '    Ireland']","['Barry Award for Best First Novel (2008), Macavity Award for Best First Mystery Novel (2008), Anthony Award for Best First Novel (2008), Edgar Award for Best First Novel by an American Author (2008)']","['Mystery', ' Fiction', ' Thriller']",4.0
Stiff: The Curious Lives of Human Cadavers,https://www.goodreads.com//book/show/32145.Stiff,Mary Roach,4.05,181592.0,14169.0,303.0,2004.0,0,,"['Guardian First Book Award Nominee for Also Commended (2003), ALA Alex Award (2004), Lincoln Award Nominee (2006)']","['Nonfiction', ' Science', ' Humor']",3.0
"Mistborn: The Final Empire (Mistborn, #1)",https://www.goodreads.com//book/show/68428.Mistborn,Brandon Sanderson,4.44,437355.0,30650.0,541.0,2006.0,1,['Luthadel'],"['Tähtifantasia Award Nominee (2018), Prix Elbakin.net for Meilleur roman fantasy traduit (2010)']","['Fantasy', ' Fiction', ' Fantasy']",2.0
"A Dirty Job (Grim Reaper, #1)",https://www.goodreads.com//book/show/33456.A_Dirty_Job,Christopher Moore,4.02,112972.0,6777.0,387.0,2006.0,1,"['San Francisco', ' California  United States', ' ']",['The Quill Award for General Fiction (2006)'],"['Humor', ' Fiction', ' Fantasy']",1.0
Special Topics in Calamity Physics,https://www.goodreads.com//book/show/3483.Special_Topics_in_Calamity_Physics,Marisha Pessl,3.7,44330.0,5346.0,514.0,2006.0,0,"['Stockton', ' North Carolina  United States', ' ']","['John Sargent, Sr. First Novel Prize (2006), PEN/Hemingway Foundation Award Nominee (2007), The Center for Fiction First Novel Prize (2006)']","['Fiction', ' Mystery', ' Contemporary']",4.0
"The Fiery Cross (Outlander, #5)",https://www.goodreads.com//book/show/10967.The_Fiery_Cross,Diana Gabaldon,4.22,182180.0,7496.0,1443.0,2005.0,1,"['North Carolina', ' 1771  United States', '    North Carolina', ' 1770  United States', '    North Carolina', ' 1772  United States', '    …more Mount Holicon', ' The Royal Colony of North Carolina', ' 1770  United States', '    …less']",[],"['Historical', ' Romance', ' Fiction']",
"Eldest (The Inheritance Cycle, #2)",https://www.goodreads.com//book/show/45978.Eldest,Christopher Paolini,3.99,376153.0,9882.0,704.0,2007.0,1,['Alagaësia'],"[""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2006), Colorado Blue Spruce Young Adult Book Award (2007), Teen Buckeye Book Award (2007), Soaring Eagle Book Award (2006)""]","['Fantasy', ' Young Adult', ' Fiction']",4.0
Those Who Save Us,https://www.goodreads.com//book/show/49465.Those_Who_Save_Us,Jenna Blum,4.11,96879.0,6751.0,479.0,2005.0,0,"['Minneapolis', ' Minnesota  United States', '    Weimar  Germany', ' ']",[],"['Historical', ' Fiction', ' War']",
"Moloka'i (Moloka'i, #1)",https://www.goodreads.com//book/show/3273.Moloka_i,Alan Brennert,4.16,113122.0,10122.0,405.0,2004.0,1,"['Hawaii', ' 1891  United States', ' ']",['One Book One San Diego (2012)'],"['Historical', ' Fiction', ' Historical']",1.0
"Inkspell (Inkworld, #2)",https://www.goodreads.com//book/show/28195.Inkspell,Cornelia Funke,3.9,117395.0,4157.0,635.0,2005.0,1,,"[""Locus Award Nominee for Best Young Adult Novel (2006), Book Sense Book of the Year Award for Children's Literature (2006)""]","['Fantasy', ' Young Adult', ' Fiction']",2.0
The Shock Doctrine: The Rise of Disaster Capitalism,https://www.goodreads.com//book/show/1237300.The_Shock_Doctrine,Naomi Klein,4.23,41031.0,2980.0,558.0,2007.0,0,"['New Orleans', ' Louisiana  United States', '    Chile  Argentina  …more Uruguay  Bolivia  Brazil  United Kingdom  Indonesia  Russia  South Africa  Iraq  Sri Lanka  …less']","['Warwick Prize for Writing (2009), Canadian Booksellers Association Libris Award for Non‐Fiction Book (2008), British Columbia National Award for Canadian Non-Fiction Nominee (2008)']","['Nonfiction', ' Politics', ' Economics']",3.0
The Gargoyle,https://www.goodreads.com//book/show/2595138-the-gargoyle,Andrew Davidson,3.94,46791.0,5593.0,468.0,2008.0,0,['North America  Germany  Japan  …more England  Italy  Iceland  …less'],"['Sunburst Award for Canadian Novel (2009), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']","['Fiction', ' Fantasy', ' Historical']",2.0
The Forgotten Garden,https://www.goodreads.com//book/show/3407877-the-forgotten-garden,Kate Morton,4.13,198356.0,18842.0,648.0,2008.0,0,"['Australia  Cornwall', ' England  London', ' England  United Kingdom', ' ']","['Australian Book Industry Award (ABIA) for General Fiction (2009), 本屋大賞 Nominee for Translated Fiction (2012)']","['Fiction', ' Historical', ' Mystery']",2.0
The Crimson Petal and the White,https://www.goodreads.com//book/show/40200.The_Crimson_Petal_and_the_White,Michel Faber,3.85,40814.0,3251.0,835.0,2003.0,0,"['London', ' England', ' 1874  United Kingdom', '    England']","['James Tait Black Memorial Prize Nominee for Fiction (2003), Premio letterario Giuseppe Acerbi (2010)']","['Historical', ' Fiction', ' Historical']",2.0
