Title,URL,Author,Average_rating,Rating,Reviews,Pages,Year,Series,Setting,Awards,Genres,Awards_no
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://www.goodreads.com//book/show/136251.Harry_Potter_and_the_Deathly_Hallows,J.K. Rowling,4.62,2959574.0,68456.0,759.0,2007.0,1,"['London', ' England  United Kingdom', '    Hogwarts School of Witchcraft and Wizardry  United Kingdom', '    Pagford  United Kingdom', ' ']","['Locus Award Nominee for Best Young Adult Novel (2008), Odyssey Award Nominee (2008), Audie Award (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008), Teen Read Award Nominee for Best All-Time-Fave (2010)\n...more\nPuddly Award for Fiction (2008), Andre Norton Award (2007), Carnegie Medal Nominee (2008)']","['Fantasy', ' Young Adult', ' Fiction']",8.0
"The Hunger Games (The Hunger Games, #1)",https://www.goodreads.com//book/show/2767052-the-hunger-games,Suzanne Collins,4.32,6685572.0,175503.0,374.0,2008.0,1,"['District 12', ' Panem  Capitol', ' Panem  Panem  United States', ' ']","[""Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010)\n...more\nBooks I Loved Best Yearly (BILBY) Awards for Older Readers (2012), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010), Red House Children's Book Award for Older Readers & Overall (2010), South Carolina Book Award for Junior and Young Adult Book (2011), Charlotte Award (2010), Colorado Blue Spruce Young Adult Book Award (2010), Teen Buckeye Book Award (2009), Pennsylvania Young Readers' Choice Award for Young Adults (2010), Rhode Island Teen Book Award (2010), Dorothy Canfield Fisher Children's Book Award (2010), Evergreen Teen Book Award (2011), Soaring Eagle Book Award (2009), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal for Middle School Book (2010), Michigan Library Association Thumbs Up! Award (2009), Florida Teens Read (2009), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010), Iowa High School Book Award (2011), New Mexico Land of Enchantment Award for Young Adult (2011), Eliot Rosewater Indiana High School Book Award (2010), The Inky Awards for Silver Inky (2009), California Young Readers Medal for Young Adult (2011), Lincoln Award (2011), Kinderboekwinkelprijs (2010), Missouri Truman Readers Award (2011), CYBILS Award for Young Adult Fantasy & Science Fiction (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Prix Et-lisez-moi (2011), Missouri Gateway Readers Award (2011), Oklahoma Sequoyah Award for High School and Intermediate (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009), Rebecca Caudill Young Readers' Book Award (2011), LovelyBooks Leserpreis for Fantasy (2009), LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009), Premi Protagonista Jove for Categoria 13-14 anys (2010)""]","['Young Adult', ' Fiction', ' Science Fiction']",41.0
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://www.goodreads.com//book/show/1.Harry_Potter_and_the_Half_Blood_Prince,J.K. Rowling,4.57,2575436.0,42018.0,652.0,2006.0,1,"['Hogwarts School of Witchcraft and Wizardry  United Kingdom', '    England']","['Locus Award Nominee for Best Young Adult Novel (2006), Audie Award for Audiobook of the Year (2006), British Book of the Year (2006)']","['Fantasy', ' Young Adult', ' Fiction']",3.0
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://www.goodreads.com//book/show/6.Harry_Potter_and_the_Goblet_of_Fire,J.K. Rowling,4.56,2749984.0,49584.0,734.0,2002.0,1,"['Hogwarts School of Witchcraft and Wizardry', ' 1994  United Kingdom', '    Scotland  United Kingdom']","[""Hugo Award for Best Novel (2001), Mythopoeic Fantasy Award for Children's Literature (2008), Publieksprijs voor het Nederlandse Boek (2001), Audie Award for Solo Narration - Male (2001), West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2001)\n...more\nGolden Archer Award for Middle/Junior High (2002), Indian Paintbrush Book Award (2002), Deutscher Bücherpreis for Publikumspreis, Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2001)""]","['Fantasy', ' Young Adult', ' Fiction']",9.0
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://www.goodreads.com//book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,J.K. Rowling,4.5,2653470.0,45376.0,870.0,2004.0,1,"['Hogwarts School of Witchcraft and Wizardry  United Kingdom', '    London', ' England  United Kingdom', ' ']","[""Bram Stoker Award for Works for Young Readers (2003), Anthony Award for Young Adult (2004), Mythopoeic Fantasy Award for Children's Literature (2008), Audie Award for Audiobook of the Year (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004)\n...more\nColorado Blue Spruce Young Adult Book Award (2006), Golden Archer Award for Middle/Junior High (2005), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004), Carnegie Medal Nominee (2003)""]","['Fantasy', ' Young Adult', ' Fiction']",9.0
The Book Thief,https://www.goodreads.com//book/show/19063.The_Book_Thief,Markus Zusak,4.38,1941968.0,116809.0,552.0,2006.0,0,"['Molching', ' 1939  Germany', '    Germany']","[""National Jewish Book Award for Children’s and Young Adult Literature (2006), Book Sense Book of the Year Award for Children's Literature (2007), Buxtehuder Bulle (2008), Sydney Taylor Book Award for Teen Readers (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2009)\n...more\nMichael L. Printz Award Nominee (2007), Exclusive Books Boeke Prize (2007), Rhode Island Teen Book Award Nominee (2008), The Quill Award Nominee for Young Adult/Teen (2006), Zilveren Zoen (2008), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2009), Association of Jewish Libraries for Teen Book Award (2006), Lincoln Award Nominee (2010), Australian Book Industry Award (ABIA) Nominee for Literary Fiction (2008), Kathleen Mitchell Award, Ena Noel Award (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2009), LovelyBooks Leserpreis for Allgemeine Literatur (2009), Margaret A. Edwards Award (2014)""]","['Historical', ' Fiction', ' Young Adult']",20.0
The Time Traveler's Wife,https://www.goodreads.com//book/show/18619684-the-time-traveler-s-wife,Audrey Niffenegger,3.98,1619675.0,47979.0,500.0,2013.0,0,"['Chicago', ' Illinois  United States', '    Illinois  United States', ' ']","['Arthur C. Clarke Award Nominee (2005), Orange Prize Nominee for Fiction Longlist (2004), British Book Award (2006), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2005), Exclusive Books Boeke Prize (2005)\n...more\nALA Alex Award (2004)']","['Fiction', ' Romance', ' Fantasy']",6.0
The Kite Runner,https://www.goodreads.com//book/show/77203.The_Kite_Runner,Khaled Hosseini,4.31,2538293.0,76677.0,371.0,2004.0,0,"['Kabul  Afghanistan', '    Fremont', ' California  United States', '    Afghanistan  …more Peshawar  Pakistan', '    …less']","[""Borders Original Voices Award for Fiction (2003), Humo's Gouden Bladwijzer (2008), Exclusive Books Boeke Prize (2004), ALA Alex Award (2004), Puddly Award for Fiction (2006)\n...more\nLincoln Award Nominee (2006), Prix des libraires du Québec for Lauréats hors Québec (2006), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)""]","['Fiction', ' Historical', ' Contemporary']",8.0
The Help,https://www.goodreads.com//book/show/4667024-the-help,Kathryn Stockett,4.46,2265765.0,85535.0,464.0,2009.0,0,"['Jackson', ' Mississippi', ' 1962  United States', '    Jackson', ' Mississippi  United States', '    Mississippi  United States', ' ']","['Orange Prize Nominee for Fiction Longlist (2010), Audie Award for Fiction (2010), Exclusive Books Boeke Prize (2009), SIBA Book Award for Fiction (2010), Indies Choice Book Award for Adult Debut (2010)\n...more\nPuddly Award for Fiction (2011), Lincoln Award Nominee (2013), Grand Prix des lectrices de Elle for roman (2011), Goodreads Choice Award for Fiction (2009) and Nominee for Best of the Best  (2018), Townsend Prize for Fiction (2010)']","['Fiction', ' Historical', ' Historical']",10.0
A Thousand Splendid Suns,https://www.goodreads.com//book/show/128029.A_Thousand_Splendid_Suns,Khaled Hosseini,4.38,1208194.0,56660.0,372.0,2007.0,0,"['Afghanistan  Kabul  Afghanistan', '    Herat  Afghanistan', ' ']","['British Book Award for Best Read of the Year (2008), Book Sense Book of the Year Award for Adult Fiction (2008), California Book Award for Fiction (Silver) (2007), Exclusive Books Boeke Prize Nominee (2007), Lincoln Award Nominee (2011)']","['Fiction', ' Historical', ' Contemporary']",5.0
"Catching Fire (The Hunger Games, #2)",https://www.goodreads.com//book/show/6148028-catching-fire,Suzanne Collins,4.29,2662545.0,98741.0,391.0,2009.0,1,"['District 12', ' Panem  Capitol', ' Panem  Panem  United States', ' ']","[""Locus Award Nominee for Best Young Adult Book (2010), Golden Duck Award for Young Adult (Hal Clement Award) (2010), Soaring Eagle Book Award (2011), Children's Choice Book Award for Teen Choice Book of the Year (2010), Indies Choice Book Award for Young Adult (2010)\n...more\nTeen Read Award Nominee for Best Read (2010), DABWAHA Romance Tournament for Best Young Adult (2010), Goodreads Choice Award for Favorite Book and Young Adult Series (2009) and Nominee for Best of the Best  (2018), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2010)""]","['Young Adult', ' Science Fiction', ' Fiction']",9.0
"Twilight (Twilight, #1)",https://www.goodreads.com//book/show/41865.Twilight,Stephenie Meyer,3.61,5206333.0,107238.0,501.0,2006.0,1,"['Forks', ' Washington  United States', '    Phoenix', ' Arizona  United States', '    Washington state', '   United States', ' ']","[""Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009)\n...more\nWest Australian Young Readers' Book Award (WAYRBA) for Older Readers (2008), Garden State Book Award for Fiction (Grades 9-12) (2008), South Carolina Book Award for Young Adult Book Award (2008), Grand Canyon Reader Award for Teen Book (2008), Maryland Black-Eyed Susan Book Award for High School (2008), Golden Sower Award for Young Adult (2009), Nevada Young Readers' Award for Young Adult Category  (2007), The Flume: New Hampshire Teen Reader's Choice Award (2007), Pennsylvania Young Readers' Choice Award for Young Adult (2009), Rhode Island Teen Book Award (2007), Evergreen Teen Book Award (2008), Michigan Library Association Thumbs Up! Award Nominee (2006), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2007), Iowa High School Book Award (2008), Eliot Rosewater Indiana High School Book Award (2008), Lincoln Award (2008), Literaturpreis der Jury der jungen Leser for Cover (2007), Prix Et-lisez-moi (2008), Missouri Gateway Readers Award (2008)""]","['Young Adult', ' Fantasy', ' Romance']",25.0
Water for Elephants,https://www.goodreads.com//book/show/43641.Water_for_Elephants,Sara Gruen,4.09,1426034.0,59318.0,335.0,2007.0,0,"['United States of America  Joliet', ' Illinois', ' 1932  United States', '    Ithaca', ' New York', ' 1932  United States', ' ']","['Book Sense Book of the Year Award for Adult Fiction (2007), ALA Alex Award (2007), The Quill Award Nominee for General Fiction (2006), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']","['Fiction', ' Historical', ' Romance']",4.0
"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com//book/show/2429135.The_Girl_with_the_Dragon_Tattoo,Stieg Larsson,4.14,2720514.0,69826.0,465.0,2008.0,1,"['Stockholm  Sweden', '    Hedeby Island  Sweden', '    Hedestad', ' Stockholm  Sweden', '    …more Sweden  …less']","['Barry Award for Mystery/Crime Novel Of The Decade (2010), Macavity Award for Best First Mystery Novel (2009), Anthony Award for Best First Novel (2009), Glass Key Award (2006), CWA International Dagger Nominee (2008)\n...more\nGalaxy British Book Awards for Crime Thriller of the Year (2009), Exclusive Books Boeke Prize (2008), Strand Critics Award  Nominee for Best First Novel (2008)']","['Fiction', ' Mystery', ' Thriller']",8.0
Life of Pi,https://www.goodreads.com//book/show/4214.Life_of_Pi,Yann Martel,3.92,1390603.0,47977.0,460.0,2006.0,0,"['Pacific Ocean  Pondicherry  India', '    Toronto', ' Ontario  Canada', '    …more Tomatlan  Mexico', '    …less']","[""Booker Prize (2002), Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2003), Exclusive Books Boeke Prize (2003), Governor General's Literary Awards / Prix littéraires du Gouverneur général Nominee for Fiction (2001), Lincoln Award Nominee (2005)\n...more\nDeutscher Bücherpreis for Belletristik (2004), CBC Canada Reads Nominee (2003), Luisterboek Award Nominee (2015), QWF (Quebec Writer's Federation) Award for Paragraphe Hugh MacLennan Prize for Fiction (2001), Asian/Pacific American Award for Literature for Adult Fiction (2003)""]","['Fiction', ' Fantasy', ' Classics']",10.0
"The Da Vinci Code (Robert Langdon, #2)",https://www.goodreads.com//book/show/968.The_Da_Vinci_Code,Dan Brown,3.87,2011082.0,48299.0,489.0,2006.0,1,"['Paris  France', '    London', ' England  United Kingdom', '    France  …more England  United Kingdom  …less']","[""British Book Award for Book of the Year (2005), Book Sense Book of the Year Award for Adult Fiction (2004), Humo's Gouden Bladwijzer (2004), Zilveren Vingerafdruk (2004), The Flume: New Hampshire Teen Reader's Choice Award (2006)\n...more\nTeen Buckeye Book Award (2005), Iowa High School Book Award (2006), Puddly Award for Fiction (2007), Missouri Gateway Readers Award for Adult (2006)""]","['Fiction', ' Mystery', ' Thriller']",9.0
The Lovely Bones,https://www.goodreads.com//book/show/12232938-the-lovely-bones,Alice Sebold,3.82,2084174.0,41261.0,372.0,2006.0,0,"['Philadelphia', ' Pennsylvania', ' 1973  United States', '    Pennsylvania', ' 1973  United States', '    United States of America', ' 1973      ']","['Bram Stoker Award for Best First Novel (2002), Orange Prize Nominee for Fiction Longlist (2003), British Book Award for Best Read of the Year (2004), Book Sense Book of the Year Award for Adult Fiction (2003), California Book Award for First Fiction (Silver) (2002)\n...more\nSouth Carolina Book Award for Young Adult Book Award (2005), Chicago Tribune Heartland Prize for Fiction (2002), Iowa High School Book Award (2005), Puddly Award for Fiction (2003), Eliot Rosewater Indiana High School Book Award (2005), Lincoln Award Nominee (2005), Missouri Gateway Readers Award (2005)']","['Fiction', ' Mystery', ' Young Adult']",12.0
The Road,https://www.goodreads.com//book/show/6288.The_Road,Cormac McCarthy,3.97,746612.0,47095.0,241.0,2006.0,0,['United States of America'],"['Pulitzer Prize for Fiction (2007), Locus Award Nominee for Best SF Novel (2007), James Tait Black Memorial Prize for Fiction (2006), The Quill Award for General Fiction (2007), Puddly Award for Fiction (2010)\n...more\nNational Book Critics Circle Award Nominee for Fiction (2006), Believer Book Award (2006), Tähtivaeltaja Award (2009), Cena Akademie SFFH for Kniha roku (Book of the Year) (2008), Prix des libraires du Québec for Lauréats hors Québec (2009), International Dublin Literary Award Nominee (2008), The Rooster -- The Morning News Tournament of Books (2007)']","['Fiction', ' Science Fiction', ' Science Fiction']",12.0
The Curious Incident of the Dog in the Night-Time,https://www.goodreads.com//book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,Mark Haddon,3.89,1245244.0,45600.0,226.0,2004.0,0,"['Swindon', ' England', ' 1999  United Kingdom', '    London', ' England', ' 1999  United Kingdom', '    England', ' 1999      ']","[""Booker Prize Nominee for Longlist (2003), James Tait Black Memorial Prize Nominee for Fiction (2003), Whitbread Award for Novel and Book of the Year (2003), Guardian Children's Fiction Prize (2003), McKitterick Prize (2004)\n...more\nLos Angeles Times Book Prize for Art Seidenbaum Award for First Fiction (2003), Exclusive Books Boeke Prize (2004), ALA Alex Award (2004), Zilveren Zoen (2004), Lincoln Award Nominee (2006), Commonwealth Writers' Prize for Best First Book Overall (2004), North East Teenage Book Award Nominee (2004), Carnegie Medal Nominee (2003), Dolly Gray Children's Literature Award (2004), Premi Protagonista Jove for Categoria 15-16 anys (2006)""]","['Fiction', ' Mystery', ' Young Adult']",15.0
The Secret Life of Bees,https://www.goodreads.com//book/show/37435.The_Secret_Life_of_Bees,Sue Monk Kidd,4.06,1149500.0,31200.0,302.0,2003.0,0,"['United States of America  South Carolina  United States', '    Tiburon', ' South Carolina', ' 1964  United States', ' ']","['Orange Prize Nominee for Fiction Longlist (2002), Book Sense Book of the Year Award for Paperback (2004), Lincoln Award Nominee (2005), Missouri Gateway Readers Award Nominee (2005), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']","['Fiction', ' Historical', ' Young Adult']",5.0
Middlesex,https://www.goodreads.com//book/show/2187.Middlesex,Jeffrey Eugenides,4.01,593883.0,23582.0,529.0,2003.0,0,"['Bursa  Turkey', '    Izmir  Turkey', '    Detroit', ' Michigan  United States', '    …more Berlin  Germany', '    …less']","['Pulitzer Prize for Fiction (2003), James Tait Black Memorial Prize Nominee for Fiction (2003), Ambassador Book Award for Fiction (2003), Audie Award for Fiction, Unabridged (2003), National Book Critics Circle Award Nominee for Fiction (2002)']","['Fiction', ' Historical', ' Contemporary']",6.0
"Harry Potter Series Box Set (Harry Potter, #1-7)",https://www.goodreads.com//book/show/862041.Harry_Potter_Series_Box_Set,J.K. Rowling,4.72,260300.0,7545.0,4100.0,2007.0,1,,"[""Mythopoeic Fantasy Award for Children's Literature (2008)""]","['Fantasy', ' Young Adult', ' Fiction']",1.0
My Sister's Keeper,https://www.goodreads.com//book/show/10917.My_Sister_s_Keeper,Jodi Picoult,4.08,1086356.0,33887.0,423.0,2005.0,0,"['United States of America  Providence', ' Rhode Island  United States', '    Rhode Island  United States', ' ']","[""Audie Award for Multi-Voiced Performance (2005), Pennsylvania Young Readers' Choice Award for Young Adults (2007), ALA Alex Award (2005), Lincoln Award (2006), Green Mountain Book Award (2007)\n...more\nMissouri Gateway Readers Award Nominee (2007)""]","['Fiction', ' Contemporary', ' Womens Fiction']",6.0
"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://www.goodreads.com//book/show/28187.The_Lightning_Thief,Rick Riordan,4.26,2125650.0,64852.0,377.0,2006.0,1,"['New York City', ' New York  United States', '    Montauk', ' New York  United States', '    New Jersey  United States', '    …more St. Louis', ' Missouri  United States', '    Las Vegas', ' Nevada  United States', '    Long Island', ' New York  United States', '    …less']","[""Young Readers' Choice Award (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011), South Carolina Book Award for Junior Book Award (2008), Grand Canyon Reader Award for Tween Book (2008), Nene Award (2008)\n...more\nMassachusetts Children's Book Award (2008), Pennsylvania Young Readers' Choice Award for Grades 6-8 (2008), Rhode Island Teen Book Award Nominee (2007), Sunshine State Young Readers Award for Grades 6-8 (2007), Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2008), Iowa Teen Award (2009), Lincoln Award Nominee (2009), Oklahoma Sequoyah Award for YA (2008), Rebecca Caudill Young Readers' Book Award (2009)""]","['Fantasy', ' Young Adult', ' Fantasy']",14.0
The Glass Castle,https://www.goodreads.com//book/show/7445.The_Glass_Castle,Jeannette Walls,4.28,952021.0,52491.0,288.0,2006.0,0,"['New York City', ' New York  United States', '    West Virginia  United States', ' ']","['ALA Alex Award (2006), Lincoln Award Nominee (2008)']","['Nonfiction', ' Autobiography', ' Biography']",2.0
"Breaking Dawn (Twilight, #4)",https://www.goodreads.com//book/show/1162543.Breaking_Dawn,Stephenie Meyer,3.7,1388270.0,47831.0,756.0,2008.0,1,"['Forks', ' Washington  United States', '    Washington state', '   United States', ' ']","[""Children's Choice Book Award for Teen Choice Book of the Year (2009), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009), LovelyBooks Leserpreis for Romantik/Liebe/Gefühl (2009)""]","['Young Adult', ' Fantasy', ' Romance']",3.0
Atonement,https://www.goodreads.com//book/show/6867.Atonement,Ian McEwan,3.91,454705.0,17845.0,351.0,2003.0,0,"['England  France  London', ' England  United Kingdom', '    …more United Kingdom  …less']","[""Booker Prize Nominee (2001), James Tait Black Memorial Prize Nominee for Fiction (2001), Whitbread Award Nominee for Novel (2001), WH Smith Literary Award (2002), Los Angeles Times Book Prize for Fiction (2002)\n...more\nExclusive Books Boeke Prize (2002), National Book Critics Circle Award for Fiction (2002), Commonwealth Writers' Prize for Best Book in South Asia and Europe (2002), Deutscher Bücherpreis for Internationale Belletristik (2003), Premi Llibreter de narrativa Nominee (2003), International Dublin Literary Award Nominee (2003)""]","['Fiction', ' Historical', ' Romance']",11.0
"Eclipse (The Twilight Saga, #3)",https://www.goodreads.com//book/show/428263.Eclipse,Stephenie Meyer,3.7,1493232.0,38628.0,629.0,2007.0,1,"['Forks', ' Washington  United States', '    Washington state', '   United States', '    La Push', ' Washington  United States', ' ']","['Colorado Blue Spruce Young Adult Book Award (2009), Teen Buckeye Book Award (2008)']","['Young Adult', ' Fantasy', ' Romance']",2.0
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",https://www.goodreads.com//book/show/1232.The_Shadow_of_the_Wind,Carlos Ruiz Zafón,4.27,495815.0,38229.0,487.0,2005.0,1,"['Spain  Barcelona', ' Catalonia  Spain', ' ']","[""Barry Award for Best First Novel (2005), Gumshoe Award Nominee for Best European Crime Novel (2005), Borders Original Voices Award for Fiction (2004), Dilys Award Nominee (2005), Humo's Gouden Bladwijzer (2006)\n...more\nPrix du Meilleur Livre Étranger for Roman (2004), Prix des libraires du Québec for Lauréats hors Québec (2005), One Book One San Diego (2015), Premi Llibreter de narrativa Nominee (2002)""]","['Fiction', ' Historical', ' Mystery']",9.0
"Angels & Demons (Robert Langdon, #1)",https://www.goodreads.com//book/show/960.Angels_Demons,Dan Brown,3.91,2778931.0,29847.0,736.0,2006.0,1,"['Rome  Italy', '    Vatican City  Italy', '    Italy']","[""Humo's Gouden Bladwijzer (2005)""]","['Fiction', ' Mystery', ' Thriller']",1.0
"American Gods (American Gods, #1)",https://www.goodreads.com//book/show/30165203-american-gods,Neil Gaiman,4.1,793562.0,39893.0,635.0,2011.0,1,"['United States of America  Chicago', ' Illinois  United States', '    Chattanooga', ' Tennessee  United States', '    …more Minnesota  United States', '    Wisconsin  United States', '    Illinois  United States', '    …less']","[""Bram Stoker Award for Best Novel (2001), Hugo Award for Best Novel (2002), Nebula Award for Best Novel (2002), Locus Award for Best Fantasy Novel (2002), International Horror Guild Award Nominee for Best Novel (2001)\n...more\nWorld Fantasy Award Nominee for Best Novel (2002), SFX Award for Best Novel (2002), Geffen Award (2003), Mythopoeic Fantasy Award Nominee for Adult Literature (2002), British Science Fiction Association Award Nominee for Best Novel (2001), Grand Prix de l'Imaginaire Nominee for Roman étranger (2003), Prix Bob Morane for roman traduit (2003), British Fantasy Award Nominee for Best Novel (August Derlith Fantasy Award) (2002)""]","['Fantasy', ' Fiction', ' Fantasy']",13.0
"New Moon (Twilight, #2)",https://www.goodreads.com//book/show/49041.New_Moon,Stephenie Meyer,3.55,1541147.0,48758.0,563.0,2006.0,1,"['Forks', ' Washington  United States', '    La Push', ' Washington  United States', '    Volterra  Italy', '    …more Washington state', '   United States', '    …less']","[""Books I Loved Best Yearly (BILBY) Awards for Older Readers (2010), South Carolina Book Award for Young Adult Book Award (2009), The Flume: New Hampshire Teen Reader's Choice Award (2008), Soaring Eagle Book Award (2007), Pacific Northwest Library Association Young Reader's Choice Award for Senior (2009)""]","['Young Adult', ' Fantasy', ' Romance']",5.0
The Host,https://www.goodreads.com//book/show/1656001.The_Host,Stephenie Meyer,3.84,924170.0,41838.0,619.0,2008.0,1,"['Arizona  United States', ' ']",[],"['Young Adult', ' Science Fiction', ' Fantasy']",
"City of Bones (The Mortal Instruments, #1)",https://www.goodreads.com//book/show/256683.City_of_Bones,Cassandra Clare,4.09,1693052.0,64150.0,485.0,2007.0,1,"['New York City', ' New York', ' 2007  United States', ' ']","[""Locus Award Nominee for Best First Novel (2008), Georgia Peach Book Award Nominee for Honor book (2009), South Carolina Book Award Nominee for Young Adult Book Award (2010), Pacific Northwest Library Association Young Reader's Choice Award (2010), Lincoln Award (2010)""]","['Young Adult', ' Fantasy', ' Romance']",5.0
"The Girl Who Played with Fire (Millennium, #2)",https://www.goodreads.com//book/show/5060378-the-girl-who-played-with-fire,Stieg Larsson,4.24,834169.0,34586.0,503.0,2009.0,1,"['Stockholm  Sweden', '    Sweden']","['Anthony Award Nominee for Best Novel (2010), Dilys Award Nominee (2010), CWA International Dagger Nominee (2009), Svenska Deckarakademins pris för bästa svenska kriminalroman (2006), Goodreads Choice Award for Mystery/Thriller (2009)']","['Fiction', ' Mystery', ' Thriller']",5.0
The Five People You Meet in Heaven,https://www.goodreads.com//book/show/3431.The_Five_People_You_Meet_in_Heaven,Mitch Albom,3.95,599049.0,21499.0,196.0,2003.0,1,['United States of America'],['Lincoln Award Nominee (2008)'],"['Fiction', ' Inspirational', ' Contemporary']",1.0
Extremely Loud & Incredibly Close,https://www.goodreads.com//book/show/4588.Extremely_Loud_Incredibly_Close,Jonathan Safran Foer,3.97,390623.0,23602.0,326.0,2006.0,0,"['New York City', ' New York', ' 2003  United States', '    Dresden', ' 1945  Germany', ' ']","['Prix des libraires du Québec for Lauréats hors Québec (2007), Luisterboek Award (2009), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']","['Fiction', ' Contemporary', ' Historical']",3.0
Looking for Alaska,https://www.goodreads.com//book/show/99561.Looking_for_Alaska,John Green,4.01,1177817.0,57854.0,221.0,2006.0,0,"['Alabama  United States', ' ']","['Los Angeles Times Book Prize Nominee for Young Adult Fiction (2005), Michael L. Printz Award (2006), Rhode Island Teen Book Award Nominee (2007), Michigan Library Association Thumbs Up! Award Nominee (2006), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2008)\n...more\nThe Inky Awards for Silver Inky (2007), Lincoln Award Nominee (2009), Bronzener Lufti (2007), Green Mountain Book Award (2008), The Inky Awards Shortlist for Silver Inky (2007), Alabama Author Award for Young Adult (2006), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014)']","['Young Adult', ' Fiction', ' Contemporary']",12.0
Never Let Me Go,https://www.goodreads.com//book/show/6334.Never_Let_Me_Go,Kazuo Ishiguro,3.83,506846.0,33717.0,288.0,2010.0,0,"['Hailsham  United Kingdom', '    Norfolk', ' England  The Cottages  United Kingdom', '    …more Kingsfield  United Kingdom', '    …less']","['Booker Prize Nominee (2005), Locus Award Nominee for Best SF Novel (2006), Arthur C. Clarke Award Nominee (2006), James Tait Black Memorial Prize Nominee for Fiction (2005), ALA Alex Award (2006)\n...more\nNational Book Critics Circle Award Nominee for Fiction (2005), Corine Internationaler Buchpreis for Belletristik (2006), International Dublin Literary Award Nominee (2007)']","['Fiction', ' Science Fiction', ' Science Fiction']",8.0
The Guernsey Literary and Potato Peel Pie Society,https://www.goodreads.com//book/show/39832183-the-guernsey-literary-and-potato-peel-pie-society,Mary Ann Shaffer,4.17,640051.0,55607.0,291.0,2018.0,0,"['United Kingdom', ' 1946       Guernsey', ' 1946      ']","['Indies Choice Book Award for Best Indie Buzz Book (Fiction) (2009), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)']","['Historical', ' Fiction', ' Historical']",2.0
"Eat, Pray, Love",https://www.goodreads.com//book/show/19501.Eat_Pray_Love,Elizabeth Gilbert,3.58,1531820.0,54596.0,368.0,2007.0,0,"['Italy  India  Bali  Indonesia', ' ']",['Puddly Award for Nonfiction (2008)'],"['Nonfiction', ' Autobiography', ' Travel']",1.0
